Round,player_0,player_0_rank,player_1,player_1_rank
Round of 16,Rublev A.,8,Ruud C.,28
Round of 16,Medvedev D.,4,McDonald M.,192
Round of 16,Tsitsipas S.,6,Berrettini M.,10
Round of 16,Nadal R.,2,Fognini F.,17
Quarter,Djokovic N.,1,Zverev A.,7
Quarter,Dimitrov G.,21,Karatsev A.,114
Quarter,Rublev A.,8,McDonald M.,192
Quarter,Medvedev D.,4,Rublev A.,8
Quarter,Medvedev D.,4,Ruud C.,28
Quarter,Ruud C.,28,McDonald M.,192
Quarter,Nadal R.,2,Tsitsipas S.,6
Quarter,Nadal R.,2,Berrettini M.,10
Quarter,Tsitsipas S.,6,Fognini F.,17
Quarter,Berrettini M.,10,Fognini F.,17
Semis,Djokovic N.,1,Dimitrov G.,21
Semis,Djokovic N.,1,Karatsev A.,114
Semis,Zverev A.,7,Dimitrov G.,21
Semis,Zverev A.,7,Karatsev A.,114
Semis,Nadal R.,2,Medvedev D.,4
Semis,Nadal R.,2,Rublev A.,8
Semis,Nadal R.,2,Ruud C.,28
Semis,Nadal R.,2,McDonald M.,192
Semis,Medvedev D.,4,Tsitsipas S.,6
Semis,Medvedev D.,4,Berrettini M.,10
Semis,Medvedev D.,4,Fognini F.,17
Semis,Tsitsipas S.,6,Rublev A.,8
Semis,Tsitsipas S.,6,Ruud C.,28
Semis,Tsitsipas S.,6,McDonald M.,192
Semis,Rublev A.,8,Berrettini M.,10
Semis,Rublev A.,8,Fognini F.,17
Semis,Berrettini M.,10,Ruud C.,28
Semis,Berrettini M.,10,McDonald M.,192
Semis,Fognini F.,17,Ruud C.,28
Semis,Fognini F.,17,McDonald M.,192
Final,Djokovic N.,1,Nadal R.,2
Final,Djokovic N.,1,Medvedev D.,4
Final,Djokovic N.,1,Tsitsipas S.,6
Final,Djokovic N.,1,Rublev A.,8
Final,Djokovic N.,1,Berrettini M.,10
Final,Djokovic N.,1,Fognini F.,17
Final,Djokovic N.,1,Ruud C.,28
Final,Djokovic N.,1,McDonald M.,192
Final,Nadal R.,2,Zverev A.,7
Final,Nadal R.,2,Dimitrov G.,21
Final,Nadal R.,2,Karatsev A.,114
Final,Medvedev D.,4,Zverev A.,7
Final,Medvedev D.,4,Dimitrov G.,21
Final,Medvedev D.,4,Karatsev A.,114
Final,Tsitsipas S.,6,Zverev A.,7
Final,Tsitsipas S.,6,Dimitrov G.,21
Final,Tsitsipas S.,6,Karatsev A.,114
Final,Zverev A.,7,Rublev A.,8
Final,Zverev A.,7,Berrettini M.,10
Final,Zverev A.,7,Fognini F.,17
Final,Zverev A.,7,Ruud C.,28
Final,Zverev A.,7,McDonald M.,192
Final,Rublev A.,8,Dimitrov G.,21
Final,Rublev A.,8,Karatsev A.,114
Final,Berrettini M.,10,Dimitrov G.,21
Final,Berrettini M.,10,Karatsev A.,114
Final,Fognini F.,17,Dimitrov G.,21
Final,Fognini F.,17,Karatsev A.,114
Final,Dimitrov G.,21,Ruud C.,28
Final,Dimitrov G.,21,McDonald M.,192
Final,Ruud C.,28,Karatsev A.,114
Final,Karatsev A.,114,McDonald M.,192
